Frame,ID,State,Confidence
26,7,SITTING,0.78
26,8,STANDING,0.76
26,9,SITTING,0.59
26,10,SITTING,0.77
26,11,STANDING,0.66
26,12,SITTING,0.19
26,19,SITTING,0.54
26,21,SITTING,0.17
27,1,SITTING,0.86
27,2,SITTING,0.87
27,3,STANDING,0.82
27,4,SITTING,0.83
27,5,SITTING,0.84
27,6,SITTING,0.8
27,7,SITTING,0.8
27,8,STANDING,0.75
27,9,STANDING,0.59
27,10,SITTING,0.77
27,11,STANDING,0.65
27,12,SITTING,0.22
27,19,SITTING,0.48
27,21,SITTING,0.18
28,1,SITTING,0.86
28,2,SITTING,0.87
28,3,STANDING,0.84
28,4,SITTING,0.83
28,5,SITTING,0.85
28,6,SITTING,0.78
28,7,SITTING,0.8
28,8,STANDING,0.74
28,9,STANDING,0.6
28,10,SITTING,0.79
28,11,STANDING,0.66
28,12,SITTING,0.19
28,19,SITTING,0.49
28,21,SITTING,0.22
29,1,SITTING,0.86
29,2,SITTING,0.87
29,3,STANDING,0.81
29,4,SITTING,0.84
29,5,SITTING,0.85
29,6,SITTING,0.79
29,7,SITTING,0.8
29,8,STANDING,0.74
29,9,STANDING,0.62
29,10,SITTING,0.8
29,11,STANDING,0.65
29,12,SITTING,0.16
29,19,SITTING,0.4
29,21,SITTING,0.21
30,1,SITTING,0.86
30,2,SITTING,0.87
30,3,STANDING,0.79
30,4,SITTING,0.84
30,5,SITTING,0.85
30,6,SITTING,0.79
30,7,SITTING,0.79
30,8,STANDING,0.73
30,9,STANDING,0.57
30,10,SITTING,0.8
30,11,STANDING,0.66
30,12,SITTING,0.15
30,19,SITTING,0.53
30,21,SITTING,0.21
31,1,SITTING,0.87
31,2,SITTING,0.86
31,3,STANDING,0.8
31,4,SITTING,0.67
31,5,STANDING,0.85
31,6,SITTING,0.66
31,7,SITTING,0.73
31,8,STANDING,0.67
31,9,STANDING,0.66
31,10,SITTING,0.74
31,11,STANDING,0.53
31,19,SITTING,0.61
31,21,SITTING,0.15
31,13,SITTING,0.53
32,1,SITTING,0.87
32,2,SITTING,0.87
32,3,STANDING,0.8
32,4,SITTING,0.67
32,5,STANDING,0.85
32,6,SITTING,0.66
32,7,SITTING,0.75
32,8,STANDING,0.66
32,9,STANDING,0.66
32,10,SITTING,0.74
32,11,STANDING,0.53
32,19,SITTING,0.66
