Frame,ID,State,Confidence
35,5,SITTING,0.86
35,6,SITTING,0.88
35,7,SITTING,0.85
35,8,STANDING,0.86
35,9,SITTING,0.82
35,10,SITTING,0.76
35,11,STANDING,0.85
35,12,SITTING,0.59
35,13,STANDING,0.69
35,14,STANDING,0.72
35,15,SITTING,0.65
35,16,SITTING,0.51
35,17,SITTING,0.58
36,1,STANDING,0.89
36,2,SITTING,0.89
36,3,SITTING,0.89
36,4,SITTING,0.89
36,5,SITTING,0.86
36,6,SITTING,0.88
36,7,SITTING,0.83
36,8,STANDING,0.86
36,9,SITTING,0.82
36,10,SITTING,0.76
36,11,STANDING,0.85
36,12,SITTING,0.59
36,13,STANDING,0.69
36,14,STANDING,0.72
36,15,SITTING,0.65
36,16,SITTING,0.54
36,17,SITTING,0.58
37,1,STANDING,0.89
37,2,SITTING,0.89
37,3,SITTING,0.88
37,4,SITTING,0.89
37,5,SITTING,0.86
37,6,SITTING,0.88
37,7,SITTING,0.85
37,8,STANDING,0.86
37,9,SITTING,0.83
37,10,SITTING,0.78
37,11,STANDING,0.83
37,12,SITTING,0.59
37,13,STANDING,0.69
37,14,STANDING,0.74
37,15,SITTING,0.63
37,16,SITTING,0.52
37,17,SITTING,0.58
38,1,STANDING,0.89
38,2,SITTING,0.89
38,3,SITTING,0.88
38,4,SITTING,0.89
38,5,SITTING,0.86
38,6,SITTING,0.88
38,7,SITTING,0.84
38,8,STANDING,0.86
38,9,SITTING,0.82
38,10,SITTING,0.79
38,11,STANDING,0.84
38,12,SITTING,0.59
38,13,STANDING,0.69
38,14,STANDING,0.74
38,15,SITTING,0.62
38,16,SITTING,0.56
38,17,SITTING,0.57
39,1,STANDING,0.89
39,2,SITTING,0.89
39,3,SITTING,0.88
39,4,SITTING,0.89
39,5,SITTING,0.86
39,6,SITTING,0.88
39,7,SITTING,0.83
39,8,STANDING,0.86
39,9,SITTING,0.83
39,10,SITTING,0.8
39,11,STANDING,0.81
39,12,SITTING,0.59
39,13,STANDING,0.69
39,14,STANDING,0.74
39,15,SITTING,0.64
39,16,SITTING,0.53
39,17,SITTING,0.58
40,1,STANDING,0.89
40,2,SITTING,0.89
40,3,SITTING,0.88
40,4,SITTING,0.89
40,5,SITTING,0.86
40,6,SITTING,0.89
40,7,SITTING,0.84
40,8,STANDING,0.86
40,9,SITTING,0.83
40,10,SITTING,0.72
40,11,STANDING,0.79
40,12,SITTING,0.6
40,13,STANDING,0.71
40,14,STANDING,0.73
40,15,SITTING,0.66
40,16,SITTING,0.56
40,17,SITTING,0.6
41,1,STANDING,0.89
41,2,SITTING,0.89
41,3,SITTING,0.88
41,4,SITTING,0.89
41,5,SITTING,0.86
41,6,SITTING,0.88
41,7,SITTING,0.84
41,8,STANDING,0.86
41,9,SITTING,0.83
41,10,SITTING,0.65
41,11,STANDING,0.78
41,12,SITTING,0.59
41,13,STANDING,0.7
41,14,STANDING,0.71
41,15,SITTING,0.66
41,16,SITTING,0.59
41,17,SITTING,0.59
42,1,STANDING,0.89
42,2,SITTING,0.89
42,3,SITTING,0.88
42,4,SITTING,0.89
42,5,SITTING,0.86
42,6,SITTING,0.88
42,7,SITTING,0.83
42,8,STANDING,0.86
42,9,SITTING,0.83
